Material,Category,Current_Symbol,Current_Formula,Research_Status,NIST_Verified,Source_URL,Expert_Verified,Notes,Recommended_Action
Tungsten,metal,W,W,PENDING,,,,,
Vanadium,metal,MISSING,MISSING,PENDING,,,,,
Zinc,metal,Zn,Zn,PENDING,,,,,
Zirconium,metal,MISSING,MISSING,PENDING,,,,,
Gallium Arsenide,semiconductor,MISSING,GaAs,PENDING,,,,,
Silicon,semiconductor,MISSING,Si,PENDING,,,,,
Silicon Carbide,semiconductor,MISSING,SiC,PENDING,,,,,
Silicon Germanium,semiconductor,MISSING,MISSING,PENDING,,,,,
Alabaster,stone,MISSING,CaSO4·2H2O,PENDING,,,,,
Basalt,stone,MISSING,MISSING,PENDING,,,,,
Bluestone,stone,MISSING,MISSING,PENDING,,,,,
Breccia,stone,MISSING,MISSING,PENDING,,,,,
Calcite,stone,MISSING,CaCO3,PENDING,,,,,
Granite,stone,MISSING,SiO2-Al2O3-K2O,PENDING,,,,,
Limestone,stone,MISSING,CaCO3,PENDING,,,,,
Porphyry,stone,MISSING,MISSING,PENDING,,,,,
Marble,stone,MISSING,CaCO3,PENDING,,,,,
Onyx,stone,MISSING,MISSING,PENDING,,,,,
Quartzite,stone,MISSING,SiO2,PENDING,,,,,
Sandstone,stone,MISSING,MISSING,PENDING,,,,,
Schist,stone,MISSING,MISSING,PENDING,,,,,
Serpentine,stone,MISSING,MISSING,PENDING,,,,,
Shale,stone,MISSING,MISSING,PENDING,,,,,
Slate,stone,MISSING,MISSING,PENDING,,,,,
Soapstone,stone,MISSING,MISSING,PENDING,,,,,
Travertine,stone,MISSING,MISSING,PENDING,,,,,
Ash,wood,MISSING,MISSING,PENDING,,,,,
Bamboo,wood,MISSING,MISSING,PENDING,,,,,
Beech,wood,MISSING,MISSING,PENDING,,,,,
Birch,wood,MISSING,MISSING,PENDING,,,,,
Cedar,wood,MISSING,MISSING,PENDING,,,,,
Cherry,wood,MISSING,MISSING,PENDING,,,,,
Fir,wood,MISSING,MISSING,PENDING,,,,,
Hickory,wood,MISSING,MISSING,PENDING,,,,,
Mahogany,wood,MISSING,MISSING,PENDING,,,,,
Maple,wood,MISSING,MISSING,PENDING,,,,,
MDF,wood,MISSING,MISSING,PENDING,,,,,
Oak,wood,MISSING,MISSING,PENDING,,,,,
Pine,wood,MISSING,MISSING,PENDING,,,,,
Plywood,wood,MISSING,MISSING,PENDING,,,,,
Poplar,wood,MISSING,MISSING,PENDING,,,,,
Redwood,wood,MISSING,MISSING,PENDING,,,,,
Rosewood,wood,MISSING,MISSING,PENDING,,,,,
Teak,wood,MISSING,MISSING,PENDING,,,,,
Walnut,wood,MISSING,MISSING,PENDING,,,,,
Willow,wood,MISSING,MISSING,PENDING,,,,,
